1,Dhaka,Dhaka,Demra,Demra,1360
2,Dhaka,Dhaka,Demra,Sarulia,1361
3,Dhaka,Dhaka,Demra,Matuail,1362
4,Dhaka,Dhaka,Dhaka GPO,Dhaka GPO,1000
5,Dhaka,Dhaka,Dhaka Main PO,Dhaka Main PO,1100
6,Dhaka,Dhaka,Dhaka Sadar,Wari TSO,1203
7,Dhaka,Dhaka,Dhaka Sadar,Gendaria TSO,1204
8,Dhaka,Dhaka,Dhaka Sadar,New Market TSO,1205
9,Dhaka,Dhaka,Dhaka Sadar,Dhaka CantonmentTSO,1206
10,Dhaka,Dhaka,Dhaka Sadar,Mohammadpur Housing,1207
11,Dhaka,Dhaka,Dhaka Sadar,Dhaka Politechnic,1208
12,Dhaka,Dhaka,Dhaka Sadar,Jigatala TSO,1209
13,Dhaka,Dhaka,Dhaka Sadar,Posta TSO,1211
14,Dhaka,Dhaka,Dhaka Sadar,Gulshan Model Town,1212
15,Dhaka,Dhaka,Dhaka Sadar,Banani TSO,1213
16,Dhaka,Dhaka,Dhaka Sadar,Basabo TSO,1214
17,Dhaka,Dhaka,Dhaka Sadar,Tejgaon TSO,1215
18,Dhaka,Dhaka,Dhaka Sadar,Shantinagr TSO,1217
19,Dhaka,Dhaka,Dhaka Sadar,Mirpur TSO,1218
20,Dhaka,Dhaka,Dhaka Sadar,KhilgaonTSO,1219
21,Dhaka,Dhaka,Dhaka Sadar,BangabhabanTSO,1222
22,Dhaka,Dhaka,Dhaka Sadar,DilkushaTSO,1223
23,Dhaka,Dhaka,Dhaka Sadar,Sangsad BhabanTSO,1225
24,Dhaka,Dhaka,Dhaka Sadar,KhilkhetTSO,1229
25,Dhaka,Dhaka,Dhaka Sadar,Uttara Model TwonTSO,1231
26,Dhaka,Dhaka,Dhaka Sadar,Dhania TSO,1232
27,Dhaka,Dhaka,Dhamrai,Dhamrai,1350
28,Dhaka,Dhaka,Dhamrai,Kamalpur,1351
29,Dhaka,Dhaka,Joypara,Joypara,1330
30,Dhaka,Dhaka,Joypara,Palamganj,1331
31,Dhaka,Dhaka,Joypara,Narisha,1332
32,Dhaka,Dhaka,Keraniganj,Keraniganj,1310
33,Dhaka,Dhaka,Keraniganj,Dhaka Jute Mills,1311
34,Dhaka,Dhaka,Keraniganj,Ati,1312
35,Dhaka,Dhaka,Keraniganj,Kalatia,1313
36,Dhaka,Dhaka,Nawabganj,Nawabganj,1320
37,Dhaka,Dhaka,Nawabganj,Hasnabad,1321
38,Dhaka,Dhaka,Nawabganj,Daudpur,1322
39,Dhaka,Dhaka,Nawabganj,Agla,1323
40,Dhaka,Dhaka,Nawabganj,Khalpar,1324
41,Dhaka,Dhaka,Nawabganj,Churain,1325
42,Dhaka,Dhaka,Savar,Savar,1340
43,Dhaka,Dhaka,Savar,Dairy Farm,1341
44,Dhaka,Dhaka,Savar,Jahangirnagar Univer,1342
45,Dhaka,Dhaka,Savar,Saver P.A.T.C,1343
46,Dhaka,Dhaka,Savar,Savar Canttonment,1344
47,Dhaka,Dhaka,Savar,Shimulia,1345
48,Dhaka,Dhaka,Savar,Kashem Cotton Mills,1346
49,Dhaka,Dhaka,Savar,Rajphulbaria,1347
50,Dhaka,Dhaka,Savar,Amin Bazar,1348
51,Dhaka,Dhaka,Savar,EPZ,1349
52,Dhaka,Mymensingh,Bhaluka,Bhaluka,2240
53,Dhaka,Mymensingh,Fulbaria,Fulbaria,2216
54,Dhaka,Mymensingh,Gaforgaon,Gaforgaon,2230
55,Dhaka,Mymensingh,Gaforgaon,Shibganj,2231
56,Dhaka,Mymensingh,Gaforgaon,Usti,2232
57,Dhaka,Mymensingh,Gaforgaon,Kandipara,2233
58,Dhaka,Mymensingh,Gaforgaon,Duttarbazar,2234
59,Dhaka,Mymensingh,Gouripur,Gouripur,2270
60,Dhaka,Mymensingh,Gouripur,Ramgopalpur,2271
61,Dhaka,Mymensingh,Haluaghat,Haluaghat,2260
62,Dhaka,Mymensingh,Haluaghat,Dhara,2261
63,Dhaka,Mymensingh,Haluaghat,Munshirhat,2262
64,Dhaka,Mymensingh,Isshwargonj,Isshwargonj,2280
65,Dhaka,Mymensingh,Isshwargonj,Sohagi,2281
66,Dhaka,Mymensingh,Isshwargonj,Atharabari,2282
67,Dhaka,Mymensingh,Muktagachha,Muktagachha,2210
68,Dhaka,Mymensingh,Mymensingh Sadar,Mymensingh Sadar,2200
69,Dhaka,Mymensingh,Mymensingh Sadar,Kawatkhali,2201
70,Dhaka,Mymensingh,Mymensingh Sadar,Agriculture Universi,2202
71,Dhaka,Mymensingh,Mymensingh Sadar,Shombhuganj,2203
72,Dhaka,Mymensingh,Mymensingh Sadar,Biddyaganj,2204
73,Dhaka,Mymensingh,Mymensingh Sadar,Pearpur,2205
74,Dhaka,Mymensingh,Nandail,Nandail,2290
75,Dhaka,Mymensingh,Nandail,Gangail,2291
76,Dhaka,Mymensingh,Phulpur,Phulpur,2250
77,Dhaka,Mymensingh,Phulpur,Beltia,2251
78,Dhaka,Mymensingh,Phulpur,Tarakanda,2252
79,Dhaka,Mymensingh,Trishal,Trishal,2220
80,Dhaka,Mymensingh,Trishal,Ahmadbad,2221
